,symbol,name,price,volume_24,perc_change_24h,market_cap,perc_change_1h,volume_24h
62,HOT,Holo,0.00881696072427,,1.08855782,1522458684.4709556,-0.37959442,174455026.08853415
63,SNX,Synthetix,13.17800478396896,,6.51388547,1513382271.4301922,0.05415475,70043343.43852131
64,WAVES,Waves,14.37303118593068,,10.2327231,1512986958.9403243,-0.83945726,192697416.13985682
65,ZIL,Zilliqa,0.12544846362972,,6.057781,1422434532.8111098,-0.09371522,142458926.63881564
66,TUSD,TrueUSD,1.00026741708168,,-0.04434469,1375034904.606334,-0.02499624,123490057.34809576
67,HNT,Helium,16.33479245370361,,4.96713738,1387622158.4026437,3.66675576,20009446.15892622
68,MANA,Decentraland,0.86841010727183,,5.69197823,1372491885.691189,0.18480736,81073331.58625665
69,ENJ,Enjin Coin,1.6051890560398,,1.85286034,1339259185.1831188,-0.37381239,137060454.20839673
70,NEAR,NEAR Protocol,3.37824480154216,,9.25806042,1324791502.4725559,0.29158067,87894767.60559253
71,PAX,Paxos Standard,1.00058001169235,,-0.02308295,1251289032.5628083,-0.00555025,67703097.40790877
72,ZEN,Horizen,111.19860015764937,,4.48257953,1239653809.408742,0.25480678,79211874.63334261
73,BAT,Basic Attention Token,0.80847952192896,,9.59252702,1209497387.0787902,0.11911363,254317078.54675528
74,NEXO,Nexo,2.13909429861737,,15.7058349,1197892830.7557645,-1.52080788,15422587.85393355
75,QTUM,Qtum,12.07185986283485,,3.71268477,1188069094.3444347,0.40626603,405760135.4160529
76,STX,Stacks,1.00317074502528,,4.64606202,1153480859.6361003,-0.5009675,11395717.42595447
77,MDX,Mdex,2.54070942868386,,-3.83296265,1121592666.6984367,0.56111998,164555803.9329956
78,BTG,Bitcoin Gold,60.10425555264792,,2.57641374,1052661339.1228048,-0.11736269,29477990.99203451
79,REV,Revain,0.01218633339538,,1.76403354,1036587623.7226622,-0.28285268,4114094.60567861
80,DGB,DigiByte,0.07247017798267,,8.33057748,1040987492.8583771,-0.3984394,52474231.37502608
81,OKB,OKB,17.4366514356601,,31.01839074,1046199086.139606,8.32684271,676922666.9383234
82,ONE,Harmony,0.10192344499249,,2.14663779,1038118366.8307501,-0.73547349,61637976.12576819
83,BAKE,BakeryToken,4.25491637298947,,5.00915821,1035607348.2225528,0.0608567,133715260.17383553
84,ONT,Ontology,1.15590737310911,,5.91655405,997085300.0999672,0.81876381,185617112.87350327
85,NANO,Nano,7.39540455643231,,1.64581965,985425064.2275404,0.23337738,35630908.24638123
86,GRT,The Graph,0.79122415516307,,2.97231964,985601714.4567033,-0.4297307,81779249.76173234
87,ZRX,0x,1.15821943522633,,13.56700848,975129528.8900961,0.4783563,236026489.58180866
88,BNT,Bancor,4.7665551158779,,5.31964611,963272783.4924102,-0.51802263,45638287.36089061
89,OMG,OMG Network,6.55890972769874,,3.46437341,919856906.8149852,-0.25592676,324853490.0837037
90,FTM,Fantom,0.35607523517502,,14.5548152,906213707.1803762,0.81259966,96478131.93746264
91,UMA,UMA,14.32786722125435,,8.17883282,870979362.1438121,0.67486897,22452360.2149972
92,CELO,Celo,3.48215497382193,,2.7195847,855669823.3239938,-1.28306593,22016475.01766496
93,CHSB,SwissBorg,0.84596815091471,,3.15788302,845968150.91471,0.31731711,3251169.27015873
94,SC,Siacoin,0.01756042412911,,3.6553401,840681826.7535971,0.05112546,44676065.59100459
95,CRV,Curve DAO Token,2.36588422610109,,26.54544836,840799994.1877638,0.22694503,468720563.7072662
96,RVN,Ravencoin,0.08962911017629,,9.94062882,798149018.702066,3.91264153,72059968.93864506
97,HUSD,HUSD,1.00043219696578,,-0.02383671,799050620.4480748,-0.03581012,1315854268.8844876
98,ICX,ICON,1.22851825844579,,11.8526546,771412875.770107,-0.09574858,61857287.41910379
99,ANKR,Ankr,0.10856059253575,,3.03943235,759515168.6377267,0.47619806,31194294.96226008
100,XDC,XinFin Network,0.05825381693525,,2.20314058,714795168.2498429,-1.55962434,3462129.6394782
101,KCS,KuCoin Token,7.94757926696566,,8.44656873,636749226.2663271,-0.356857,17497322.81495121
102,FLOW,Flow,14.28839066225943,,7.44864436,606247399.8251597,-0.63989587,31130171.84648683
103,1INCH,1inch,3.47915751144101,,11.77850594,600446639.9969033,-0.48230862,123075660.54495737
104,REN,Ren,0.59642194224841,,-5.08013002,594729923.6258674,0.35647199,124018103.97930896
105,LPT,Livepeer,27.34793483980386,,16.68251205,578809614.9409348,-0.01074375,24032908.90526052
106,QNT,Quant,47.71236963038095,,4.12285534,576018937.906746,1.14459854,3830203.61197762
107,VGX,Voyager Token,2.60059597172407,,6.59587963,578100022.4583642,4.14332123,3724897.97758029
108,IOST,IOST,0.03316627983809,,6.22491974,545727114.8867552,1.20310948,139607795.90808856
109,AR,Arweave,16.37603023478132,,8.52782714,546872633.257482,-1.99768874,20671265.95964096
110,WRX,WazirX,1.82119867121215,,-8.72311017,535001870.70410055,0.06020129,137988346.58437324
111,KNC,Kyber Network Crystal Legacy,2.60556485403566,,60.82886828,534258285.5081331,3.42570541,575389574.6839039
112,RSR,Reserve Rights,0.04038176868991,,8.04636205,531424035.57744694,-0.0154584,61413170.4501415
113,BCD,Bitcoin Diamond,2.77188675984424,,3.38965837,516937194.64090365,-0.22660157,8821208.03047046
114,LSK,Lisk,3.87096146752724,,9.67124611,496283417.76570415,0.40753357,39676608.11734253
115,LRC,Loopring,0.38955148727313,,3.3342064,477343939.63631445,0.04719725,63327682.47930907
116,XVG,Verge,0.02697575823316,,5.96078614,443938943.0411953,-0.05493668,17428214.56493702
117,RLC,iExec RLC,5.28495832158825,,-8.17682959,423170805.0433957,0.31260898,92116103.50368454
118,SKL,SKALE Network,0.4389293555594,,2.32893475,420868740.3394312,-2.65821113,65580289.68535873
119,CKB,Nervos Network,0.01521754649219,,8.70208243,403774276.99196494,1.70492597,17496441.11081221
120,DENT,Dent,0.00400331637734,,3.15509944,393370894.43694174,0.5274011,36751242.58112168
121,ERG,Ergo,12.12446188828323,,-0.3839385,388133463.23741096,1.10502685,2056348.99975868
122,CFX,Conflux Network,0.45712119825655,,9.30550427,383436474.95679563,-1.11471755,10050723.1151001
123,GT,GateToken,4.81221911828561,,8.26489342,381485966.4366015,-0.97618407,19779221.42833321
124,RENBTC,renBTC,37902.16490351331,,5.04093138,370658187.1019485,-0.18346517,47532169.62695503
125,SNT,Status,0.0998756727795,,3.75888097,346616903.1968477,-0.46943365,15458764.84869518
126,VTHO,VeThor Token,0.00947362032794,,2.94589488,341991779.86482894,0.45644308,31248086.10880954
127,USDN,Neutrino USD,1.00180252382004,,0.67701231,340625957.62160754,0.04872468,28113519.6311425
128,OGN,Origin Protocol,1.08394875084075,,-1.32544109,340502512.06165606,0.45830973,76354249.07190666
129,BTMX,ASD (BTMX),0.45048262468303,,1.10226446,335068523.2537316,0.10822999,373096.85983005
130,REEF,Reef,0.026339412324,,3.32384987,333632573.7865255,0.51643517,96442907.04200381
131,KAVA,Kava.io,4.79938856761169,,37.6950055,336783376.07962406,2.28992338,322548892.24309915
